stream,temperature,conductivity,doc,pH,discharge,target
Sumidouro,1.27989498,1.505149978,0.762678564,0.705863712,-2.302770657,0
Sumidouro,1.270445908,1.342422681,0.936513742,0.777426822,-2.346787486,0
Mexerica,1.324282455,1.361727836,0.824776462,0.713490543,-1.431798276,1
Mexerica,1.325925956,1.342422681,0.843232778,0.677606953,-1.443697499,1
Mexerica,1.332034277,1.322219295,0.84260924,0.761927838,-1.318758763,1
Mexerica,1.347134783,1.301029996,0.872156273,0.737192643,-1.522878745,1
Mexerica,1.369772289,1.322219295,0.844477176,0.725094521,-1.26760624,1
Mexerica,1.36604921,1.255272505,0.824125834,0.756636108,-1.102372909,1
Mexerica,1.351603072,1.301029996,0.858537198,0.744292983,-1.300162274,1
Mexerica,1.346157302,1.176091259,0.813580989,0.719331287,-1.008773924,1
Mexerica,1.370142847,1.255272505,0.784617293,0.748188027,-0.954677021,1
Mexerica,1.369586891,1.322219295,0.771587481,0.680335513,-1.096910013,1
Mexerica,1.353916231,1.342422681,0.810232518,0.761175813,-1.017728767,1
Mexerica,1.369215857,1.342422681,0.797959644,0.705863712,-1.119186408,1
Mexerica,1.317645543,1.301029996,0.79518459,0.725911632,-1.102372909,1
Mexerica,1.380030248,1.301029996,0.700703717,0.72916479,-1.292429824,1
Mexerica,1.336659823,1.322219295,0.771587481,0.720985744,-1.13667714,1
Mexerica,1.376759395,1.301029996,0.762678564,0.723455672,-1.214670165,1
Mexerica,1.356217134,1.176091259,0.747411808,0.717670503,-1.045757491,1
Mexerica,1.377488383,1.176091259,0.692846919,0.721810615,-1.037157319,1
Mexerica,1.354492601,1.041392685,0.668385917,0.697229343,-0.718966633,1
Mexerica,1.363799945,1.255272505,0.557507202,0.673020907,-1.200659451,1
Mexerica,1.369401414,1.176091259,0.668385917,0.687528961,-1.013228266,1
Mexerica,1.346157302,1.176091259,0.812244697,0.727541257,-0.910094889,1
Mexerica,1.346352974,1.230448921,0.822821645,0.759667845,-0.903089987,1
Mexerica,1.340245762,1.204119983,0.853698212,0.721810615,-0.879426069,1
Mexerica_cab,1.300160537,0.698970004,0.648360011,0.472756449,-2.823908741,0
Mexerica_cab,1.288696261,0.77815125,0.684845362,0.423245874,-2.522878745,0
Mexerica_cab,1.308137379,0.77815125,0.875639937,0.424881637,-2.468521083,0
Mexerica_cab,1.303627976,0.77815125,0.789580712,0.442479769,-1.886056648,0
Mexerica_cab,1.315550534,0.77815125,0.803457116,0.418301291,-2.408935393,0
Mexerica_cab,1.327358934,0.698970004,0.768638101,0.44870632,-2.468521083,0
Mexerica_cab,1.297760511,0.77815125,0.782472624,0.44870632,-2.48148606,0
Mexerica_cab,1.330616667,0.698970004,0.721810615,0.411619706,-1.793174124,0
Mexerica_cab,1.317645543,0.698970004,0.695481676,0.444044796,-1.348721986,0
Mexerica_cab,1.319522449,0.77815125,0.779596491,0.436162647,-2.508638306,0
Mexerica_cab,1.320354033,0.954242509,0.804820679,0.421603927,-1.920818754,0
Mexerica_cab,1.336059278,0.903089987,0.733999287,0.418301291,-1.995678626,0
Mexerica_cab,1.323458367,0.903089987,0.632457292,0.451786436,-1.638272164,0
Mexerica_cab,1.316180099,0.77815125,0.846955325,0.496929648,-2.171984936,0
Mexerica_cab,1.314920056,0.77815125,0.694605199,0.491361694,-2.229147988,0
Mexerica_cab,1.308777774,0.84509804,0.890421019,0.51054501,-1.872895202,0
Mexerica_cab,1.309417226,0.77815125,0.894869657,0.598790507,-2.180456064,0
Mexerica_cab,1.294686624,0.84509804,0.937016107,0.597695186,-1.735182177,0
